date,appliances_energy,avg_temp_c,avg_humidity
2016-01-11 17:00:00,60,6.6,92.0
2016-01-11 17:10:00,60,6.48333333333333,92.0
2016-01-11 17:20:00,50,6.36666666666667,92.0
2016-01-11 17:30:00,50,6.25,92.0
2016-01-11 17:40:00,60,6.133333333333329,92.0
2016-01-11 17:50:00,50,6.01666666666667,92.0
2016-01-11 18:00:00,60,5.9,92.0
2016-01-11 18:10:00,60,5.91666666666667,91.8333333333333
2016-01-11 18:20:00,60,5.93333333333333,91.6666666666667
2016-01-11 18:30:00,70,5.95,91.5
2016-01-11 18:40:00,230,5.96666666666667,91.3333333333333
2016-01-11 18:50:00,580,5.98333333333333,91.1666666666667
2016-01-11 19:00:00,430,6.0,91.0
2016-01-11 19:10:00,250,6.0,90.5
2016-01-11 19:20:00,100,6.0,90.0
2016-01-11 19:30:00,100,6.0,89.5
2016-01-11 19:40:00,90,6.0,89.0
2016-01-11 19:50:00,70,6.0,88.5
2016-01-11 20:00:00,80,6.0,88.0
2016-01-11 20:10:00,140,6.0,87.8333333333333
2016-01-11 20:20:00,120,6.0,87.6666666666667
2016-01-11 20:30:00,190,6.0,87.5
2016-01-11 20:40:00,110,6.0,87.3333333333333
2016-01-11 20:50:00,110,6.0,87.1666666666667
2016-01-11 21:00:00,110,6.0,87.0
2016-01-11 21:10:00,110,5.93333333333333,87.1666666666667
2016-01-11 21:20:00,100,5.86666666666667,87.3333333333333
2016-01-11 21:30:00,100,5.8,87.5
2016-01-11 21:40:00,100,5.73333333333333,87.6666666666667
2016-01-11 21:50:00,100,5.66666666666667,87.8333333333333
2016-01-11 22:00:00,110,5.6,88.0
2016-01-11 22:10:00,400,5.65,87.8333333333333
2016-01-11 22:20:00,400,5.7,87.6666666666667
2016-01-11 22:30:00,390,5.75,87.5
2016-01-11 22:40:00,240,5.8,87.3333333333333
2016-01-11 22:50:00,60,5.85,87.1666666666667
2016-01-11 23:00:00,60,5.9,87.0
2016-01-11 23:10:00,60,5.8,87.8333333333333
2016-01-11 23:20:00,50,5.7,88.6666666666667
2016-01-11 23:30:00,70,5.6,89.5
2016-01-11 23:40:00,60,5.5,90.3333333333333
2016-01-11 23:50:00,40,5.4,91.1666666666667
2016-01-12 00:00:00,40,5.3,92.0
2016-01-12 00:10:00,30,5.26666666666667,92.0
2016-01-12 00:20:00,40,5.23333333333333,92.0
2016-01-12 00:30:00,50,5.2,92.0
2016-01-12 00:40:00,310,5.16666666666667,92.0
2016-01-12 00:50:00,380,5.133333333333329,92.0
2016-01-12 01:00:00,380,5.1,92.0
2016-01-12 01:10:00,370,5.11666666666667,92.0
2016-01-12 01:20:00,120,5.133333333333329,92.0
2016-01-12 01:30:00,50,5.15,92.0
2016-01-12 01:40:00,40,5.16666666666667,92.0
